freq,crops,strucpro,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,W1000,PR_HU_EU,AL	: 	203.70 	205.00 	205.00 	202.90 	110.40 	113.90 	118.80 p	128.30 	128.40 	104.90 	108.50 
A,W1000,PR_HU_EU,AT	318.93 	266.49 	302.45 	260.34 	331.43 	367.13 	309.92 	319.79 	328.04 	336.99 	310.76 	249.42 
A,W1000,PR_HU_EU,BA	31.80 e	26.22 e	32.21 e	36.31 e	28.01 e	40.41 e	39.29 e	44.70 e	42.01 e	26.68 b	26.68 e	: 
A,W1000,PR_HU_EU,BE	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n
A,W1000,PR_HU_EU,BG	325.60 	132.73 	261.82 	211.08 d	202.44 	201.53 	178.53 	159.10 	178.30 	161.72 	147.80 	134.75 
A,W1000,PR_HU_EU,CH	: 	106.31 e	106.31 	133.04 	100.29 	140.64 	123.85 	104.28 	76.13 	124.41 	: 	: 
A,W1000,PR_HU_EU,CY	20.39 	20.19 	21.74 	23.37 	22.87 	22.38 	22.76 	23.14 	23.13 	25.04 	21.53 p	20.53 p
A,W1000,PR_HU_EU,CZ	74.72 	63.53 	90.61 	75.91 	79.77 	103.70 	67.96 	90.38 	90.06 	91.76 	76.98 	69.28 
A,W1000,PR_HU_EU,DE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,W1000,PR_HU_EU,DK	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n	0.00 n
A,W1000,PR_HU_EU,EE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.01 	0.02 
A,W1000,PR_HU_EU,EL	1082.78 	1071.44 	1037.52 	1027.48 	1012.58 	933.15 	807.57 	815.79 	828.28 	820.52 	564.21 	820.57 
